,Words,Frequency,Tags
422,nowhere,14,RB
423,ran,14,VBD
424,happy,14,JJ
425,brother,14,NN
426,pay,14,NN
427,attention,14,NN
428,she's,14,NN
429,floor,14,NN
430,kill,14,VB
431,deep,14,JJ
432,taking,14,VBG
433,nggas,14,JJ
434,glass,14,NN
435,cop,14,NN
436,taste,13,NN
437,drugs,13,NNS
438,ballin',13,VBP
439,lit,13,JJ
440,livin',13,NN
441,catch,13,NN
442,runnin',13,NN
443,caught,13,VBD
444,people,13,NNS
445,corner,13,VBP
446,smile,13,JJ
447,live,13,VBP
448,rock,13,NN
449,cut,13,NN
450,dark,13,JJ
451,oh-oh,13,JJ
452,white,13,JJ
453,phone,13,NN
454,ask,13,NN
455,there's,13,NN
456,own,13,JJ
457,enough,13,RB
458,west,13,JJS
459,thought,13,VBN
460,box,13,NN
461,days,13,NNS
462,damn,13,VBP
463,news,13,NN
464,whip,13,NN
465,demons,13,NNS
466,se,13,VBP
467,mmm,13,JJ
468,perreo,13,NN
469,amiri,12,NN
470,since,12,IN
471,die,12,NN
472,police,12,NN
473,work,12,NN
474,ridin',12,NN
475,crib,12,NN
476,wrong,12,JJ
477,shine,12,JJ
478,dream,12,NN
479,god,12,NN
480,twenty,12,JJ
481,black,12,JJ
482,side,12,NN
483,cry,12,NN
484,bought,12,VBD
485,four,12,CD
486,son,12,NN
487,perfect,12,JJ
488,level,12,NN
489,whiskey,12,JJ
490,town,12,NN
491,ending,12,VBG
492,shake,12,JJ
493,in',12,NN
494,monster,12,NN
495,breathe,12,NN
496,ahh,12,NN
497,como,12,NN
498,bands,11,VBZ
499,smoke,11,JJ
500,shot,11,JJ
501,chopper,11,NN
502,vvs,11,NN
503,ed,11,NN
504,somethin',11,NN
505,probably,11,RB
506,goodbye,11,VBD
507,burning,11,VBG
508,chase,11,NN
509,dior,11,JJ
510,talkin',11,NN
511,remember,11,VB
512,ball,11,NN
513,gas,11,NN
514,wake,11,NN
515,blind,11,IN
516,doing,11,VBG
517,started,11,VBD
518,hundreds,11,NNS
519,fault,11,NN
520,double,11,JJ
521,skrrt,11,JJ
522,pour,11,NN
523,walkin',11,NN
524,que,11,JJ
525,bougie,11,NN
526,ella,11,NN
527,fill,10,NN
528,takin',10,VBZ
529,coupe,10,JJ
530,line,10,NN
531,fun,10,NN
532,bro,10,NN
533,jet,10,NN
534,pills,10,NNS
535,dog,10,VBP
536,mad,10,JJ
537,lookin',10,NN
538,talking,10,VBG
539,wouldn't,10,NNS
540,control,10,NN
541,mine,10,VBP
542,honey,10,NN
543,saw,10,NN
544,kiss,10,VB
545,hang,10,NN
546,swear,10,NN
547,until,10,IN
548,either,10,DT
549,listen,10,JJ
550,outta,10,NN
551,mess,10,NN
552,fight,10,NN
553,broken,10,VBN
554,behind,10,IN
555,times,10,NNS
556,pretty,10,RB
557,moment,10,NN
558,drink,10,NN
559,else,10,RB
560,hear,10,JJ
561,running,10,VBG
562,known,10,VBN
563,bones,10,NNS
564,fxck,10,RBR
565,playing,10,VBG
566,afraid,10,JJ
567,truck,10,NN
568,it'll,10,JJ
569,mamma,10,NN
570,comes,10,VBZ
571,wave,10,VBP
572,shoot,10,JJ
573,poppin',10,NN
574,hitek,10,NN
575,tek,10,NN
576,trench,10,NN
577,drank,10,NN
578,concern,10,NN
579,lo,10,JJ
580,slatt,10,NN
581,ferrari,10,NN
582,solitary,10,JJ
583,song,9,NN
584,foreign,9,JJ
585,bangin',9,NN
586,quick,9,JJ
587,wish,9,JJ
588,sick,9,NN
589,y'all,9,NN
590,adore,9,IN
591,drinks,9,NNS
592,bottle,9,JJ
593,couple,9,JJ
594,truth,9,NN
595,brain,9,NN
596,hide,9,NN
597,thirty,9,NN
598,benz,9,NN
599,patek,9,NN
600,fifty,9,JJ
601,feelin',9,NN
602,beer,9,NN
603,fix,9,NN
604,choose,9,VBP
605,stayed,9,VBN
606,cuz,9,NN
607,yes,9,NNS
608,monday,9,VBP
609,proud,9,JJ
610,showed,9,VBD
611,anybody,9,NN
612,coffee,9,NN
613,fall,9,NN
614,jump,9,NN
615,kick,9,NN
616,mouth,9,NN
617,weren't,9,VBP
618,fly,9,JJ
619,year,9,NN
620,fast,9,RB
621,bank,9,NN
622,lamborghini,9,JJ
623,bummer,9,NN
624,fine,9,JJ
625,intentions,9,NNS
626,classy,9,JJ
627,ratchet,9,NN
628,moody,9,NN
629,ahora,9,VBZ
630,servin',8,JJ
631,check,8,NN
632,dropped,8,VBD
633,school,8,NN
634,'round,8,IN
635,trappin',8,NN
636,chance,8,NN
637,living,8,VBG
638,drippin',8,VB
639,tall,8,JJ
640,stressed,8,VBN
641,ten,8,NN
642,problem,8,NN
643,being,8,VBG
644,killer,8,NN
645,under,8,IN
646,summer,8,NN
647,hello,8,NN
648,leavin',8,NN
649,freak,8,VBP
650,loose,8,JJ
651,spent,8,JJ
652,ho,8,NN
653,yellow,8,JJ
654,race,8,NN
655,six,8,CD
656,wild,8,JJ
657,fair,8,JJ
658,spin,8,NN
659,million,8,CD
660,cash,8,NN
661,movin',8,NNS
662,lips,8,NNS
663,makes,8,VBZ
664,whenever,8,WRB
665,notice,8,JJ
666,hype,8,NN
667,waiting,8,VBG
668,sleeve,8,JJ
669,dime,8,NN
670,it’s,8,JJ
671,please,8,NN
672,easy,8,JJ
673,wasn't,8,JJ
674,guitar,8,NN
675,pass,8,NN
676,guy,8,NN
677,seven,8,CD
678,knock,8,NN
679,cover,8,NN
680,count,8,NN
681,ooh-ooh,8,JJ
682,awake,8,NN
683,getting,8,VBG
684,kitchen,8,JJ
685,he's,8,JJ
686,door,8,NN
687,roll,8,NN
688,clap,8,NN
689,billie,8,NN
690,jean,8,NN
691,fck,8,NN
692,forever,8,RB
693,gray,8,JJ
694,ha,8,JJ
695,cap,8,NN
696,blood,8,NN
697,fashion,8,NN
698,makin',8,NN
699,waitin',8,VBD
700,anthem,8,JJ
701,tantrum,8,NN
702,hmm,8,NN
703,map,8,NN
704,brand,8,NN
705,hunnid,8,NN
706,fuego,8,NN
707,striker,8,NN
708,roses,8,VBZ
709,sassy,8,JJ
710,acting,8,VBG
711,prove,8,NN
712,perrea,8,NN
713,safe,7,JJ
714,tight,7,JJ
715,x,7,NN
716,bitch,7,NN
717,trenches,7,NNS
718,gun,7,VBP
719,switch,7,VB
720,key,7,JJ
721,stick,7,JJ
722,havin',7,NN
723,trippin',7,NN
724,designer,7,NN
725,least,7,JJS
726,you've,7,JJ
727,looking,7,VBG
728,ourselves,7,PRP
729,far,7,RB
730,christian,7,JJ
731,reason,7,NN
732,drip,7,NN
733,wrist,7,NN
734,sittin',7,VBD
735,peace,7,JJ
736,place,7,NN
737,past,7,IN
738,stuntin',7,NN
739,hopped,7,VBD
740,wanted,7,VBD
741,bentley,7,NN
742,miss,7,NNS
743,kept,7,VBD
744,bigger,7,JJR
745,burnin',7,NN
746,lock,7,NN
747,ain’t,7,NN
748,moon,7,NN
749,treat,7,NN
750,pistol,7,NN
751,king,7,VBG
752,average,7,JJ
753,sad,7,JJ
754,tears,7,NNS
